phylum,scientificname,OBIS_Min of depth,OBIS_Max of depth,Min of sst,Max of sst,Min of sss,Max of sss
Annelida,Aglaophamus circinata,55,62,14.09,15.1,32.39,32.97
Annelida,Ampharete finmarchica,55,57,12.85,14.09,32.21,32.39
Annelida,Ancistrosyllis hartmanae,75,75,13.77,13.77,32.7,32.7
Annelida,Aphrodita hastata,92,92,12.84,12.84,31.52,31.52
Annelida,Apistobranchus tullbergi,57,92.2,12.85,14.94,32.24,33.11
Annelida,Apoprionospio pygmaea,57,73.4,12.64,12.85,30.26,32.24
Annelida,Arabella iricolor,58,58,14.16,14.16,32.49,32.49
Annelida,Aricidea (Acmira) catherinae,55,92.2,12.36,15.1,32.21,33.11
Annelida,Aricidea (Acmira) cerrutii,55,80,12.36,14.59,32.39,32.86
Annelida,Aricidea (Acmira) finitima,62,62,15.1,15.1,32.97,32.97
Annelida,Aricidea (Acmira) taylori,58,58,14.16,14.16,32.49,32.49
Annelida,Aricidea (Aricidea) wassi,55,62,13.63,15.1,32.21,32.97
Annelida,Aricidea (Strelzovia) suecica,57,70,12.85,13.6,32.24,32.72
Annelida,Armandia maculata,75,75,14.94,14.94,33.02,33.02
Annelida,Bradabyssa villosa,75,80,13.77,14.59,32.7,32.86
Annelida,Chaetozone setosa,55.4,55.4,13.63,13.63,32.21,32.21
Annelida,Clymenella mucosa,55.4,71,12.36,13.63,32.21,32.67
Annelida,Clymenella torquata,57,92.2,12.64,13.59,30.26,33.11
Annelida,Dipolydora socialis,73.4,88,12.64,14.94,30.26,33.03
Annelida,Drilonereis longa,55,98.3,12.85,15.1,32.24,33.2
Annelida,Eteone longa,57,57,12.85,12.85,32.24,32.24
Annelida,Euchone incolor,55,92.2,12.85,15.1,32.24,33.11
Annelida,Eunice pennata,274,911,10.83,11.29,31.92,32.08
Annelida,Eunice websteri,2000,2000,19.19,19.19,35.51,35.51
Annelida,Exogone rolani,55,75,13.63,14.94,32.21,33.02
Annelida,Exogone verugera,55,88,13.28,15.1,32.21,33.03
Annelida,Galathowenia oculata,75,92.2,13.59,14.94,33.02,33.11
Annelida,Goniada maculata,75,75,14.94,14.94,33.02,33.02
Annelida,Goniadella gracilis,55,80,12.36,15.1,32.21,32.97
Annelida,Harmothoe imbricata,57,57,12.85,12.85,32.24,32.24
Annelida,Hartmania moorei,70,70,13.6,13.6,32.72,32.72
Annelida,Hydroides dianthus,75,75,14.94,14.94,33.02,33.02
Annelida,Kirkegaardia baptisteae,55,92.2,12.85,14.94,32.21,33.11
Annelida,Kirkegaardia dorsobranchialis,57,98.3,12.85,14.94,32.24,33.2
Annelida,Leitoscoloplos acutus,55,55,14.09,14.09,32.39,32.39
Annelida,Levinsenia gracilis,57,98.3,12.64,15.1,30.26,33.2
Annelida,Lumbrinerides acuta,55,75,12.36,15.1,32.21,32.97
Annelida,Lumbrineris bidens,70,70,15.53,15.53,33.31,33.31
Annelida,Lumbrineris latreilli,75,98.3,13.28,14.94,33.02,33.2
Annelida,Lysidice hebes,75,75,14.94,14.94,33.02,33.02
Annelida,Mediomastus ambiseta,73.4,73.4,12.64,12.64,30.26,30.26
Annelida,Mooreonuphis pallidula,70,92.2,13.28,15.53,33.02,33.31
Annelida,Nephtys incisa,57,98.3,12.64,14.59,30.26,33.2
Annelida,Nereis grayi,55.4,55.4,13.63,13.63,32.21,32.21
Annelida,Nereis pelagica,71,71,12.36,12.36,32.67,32.67
Annelida,Ninoe nigripes,57,92.2,12.64,14.94,30.26,33.11
Annelida,Notocirrus spiniferus,55,55,14.09,14.09,32.39,32.39
Annelida,Notomastus latericeus,62,88,13.28,15.53,32.97,33.31
Annelida,Ophelina acuminata,88,88,13.28,13.28,33.03,33.03
Annelida,Ophelina cylindricaudata,75,98.3,14.34,14.94,33.02,33.2
Annelida,Owenia fusiformis,73.4,73.4,12.64,12.64,30.26,30.26
Annelida,Paraonis fulgens,55.4,55.4,13.63,13.63,32.21,32.21
Annelida,Paraonis pygoenigmatica,55,55,14.09,14.09,32.39,32.39
Annelida,Parapionosyllis longicirrata,55,62,12.85,15.1,32.21,32.97
Annelida,Parasabella microphthalma,75,75,14.94,14.94,33.02,33.02
Annelida,Parexogone hebes,55,92.2,12.36,15.53,32.21,33.31
Annelida,Parougia caeca,55.4,75,12.36,15.1,32.21,33.02
Annelida,Paucibranchia bellii,70,70,15.53,15.53,33.31,33.31
Annelida,Pholoe minuta,57,98.3,12.85,14.34,32.24,33.2
Annelida,Polycirrus eximius,62,75,12.64,15.1,30.26,33.02
Annelida,Potamilla neglecta,88,88,13.28,13.28,33.03,33.03
Annelida,Saphobranchia octobranchus,503,503,16.17,16.17,34.15,34.15
Annelida,Scalibregma inflatum,55,88,12.36,15.53,30.26,33.31
Annelida,Scoletoma acicularum,58,76.6,13.77,15.53,32.49,33.31
Annelida,Scoletoma fragilis,71,71,12.36,12.36,32.67,32.67
Annelida,Scoletoma tenuis,73.4,73.4,12.64,12.64,30.26,30.26
Annelida,Scoletoma verrilli,55.4,62,12.85,15.1,32.21,32.97
Annelida,Scoloplos armiger,58,88,13.28,15.53,32.49,33.31
Annelida,Sigambra tentaculata,73.4,73.4,12.64,12.64,30.26,30.26
Annelida,Spiochaetopterus oculatus,57,73.4,12.64,12.85,30.26,32.24
Annelida,Spiophanes bombyx,62,88,12.36,15.53,30.26,33.31
Annelida,Sthenelais boa,62,62,15.1,15.1,32.97,32.97
Annelida,Streptosyllis arenae,71,71,12.36,12.36,32.67,32.67
Annelida,Syllides longocirratus,55,80,13.77,14.59,32.39,32.86
Annelida,Syllis beneliahuae,75,75,13.77,13.77,32.7,32.7
Annelida,Terebellides parvus,57,70,12.85,13.6,32.24,32.72
Annelida,Terebellides stroemii,57,92.2,12.64,13.88,30.26,33.11
Annelida,Tharyx acutus,55,88,13.28,15.1,32.21,33.03
Annelida,Tharyx killariensis,73.4,73.4,12.64,12.64,30.26,30.26
Annelida,Therochaeta collarifera,503,503,16.17,16.17,34.15,34.15
Annelida,Tomopteris (Johnstonella) helgolandica,40,500,10.78,12.07,32.04,32.4
Annelida,Tomopteris septentrionalis,28,500,11.35,12.49,32.04,32.76
Annelida,Travisia carnea,62,62,15.1,15.1,32.97,32.97
Arthropoda,Acanthephyra pelagica,500,545,11.35,12.07,32.04,32.4
Arthropoda,Acanthephyra purpurea,250,500,11.92,13.84,32.28,32.93
Arthropoda,Acanthocarpus alexandri,65,271.5,13.98,16.63,32.78,34.2
Arthropoda,Acartia (Acartia) danae,500,500,11.92,13.84,32.28,32.93
Arthropoda,Acartia (Acartiura) hudsonica,40,40,10.58,10.58,32.03,32.03
Arthropoda,Acartia (Acartiura) longiremis,28,28,12.49,12.49,32.76,32.76
Arthropoda,Aega psora,306,306,10.83,10.83,31.92,31.92
Arthropoda,Aeginina longicornis,92.2,306,10.83,13.59,31.92,33.11
Arthropoda,Aegisthus mucronatus,500,500,11.92,11.92,32.28,32.28
Arthropoda,Aetideopsis armata,1410,1410,11.61,11.61,32.19,32.19
Arthropoda,Aetideus armatus,61.5,500,11.15,14.27,31.99,33.55
Arthropoda,Amalopenaeus elegans,500,500,11.35,13.84,32.04,32.93
Arthropoda,Ampelisca abdita,73.4,73.4,12.64,12.64,30.26,30.26
Arthropoda,Ampelisca agassizi,57,92.2,12.85,14.94,32.24,33.11
Arthropoda,Ampelisca verrilli,73.4,73.4,12.64,12.64,30.26,30.26
Arthropoda,Atlantopandalus propinqvus,153,512.5,10.6,15.88,31.92,34.02
Arthropoda,Bathynectes longispina,112.5,346,12.33,16.79,32.53,34.22
Arthropoda,Belzebub faxoni,500,500,13.84,13.84,32.93,32.93
Arthropoda,Byblis serrata,55,88,13.28,15.1,32.21,33.03
Arthropoda,Calanus finmarchicus,25,907,10.52,14.49,31.98,33.55
Arthropoda,Calanus glacialis,32.5,500,10.73,14.1,31.99,33.1
Arthropoda,Calanus hyperboreus,37.5,545,10.78,14.1,31.99,33.1
Arthropoda,Callinectes sapidus,51,116,12.58,12.8,30.46,31.32
Arthropoda,Calocalanus pavo,280.5,280.5,18.69,18.69,35.28,35.28
Arthropoda,Calocalanus tenuis,500,500,11.35,11.35,32.04,32.04
Arthropoda,Campylaspis affinis,98.3,98.3,14.34,14.34,33.2,33.2
Arthropoda,Campylaspis rubicunda,98.3,98.3,14.34,14.34,33.2,33.2
Arthropoda,Cancer borealis,42.5,584.5,10.62,16.94,30.58,34.45
Arthropoda,Cancer irroratus,41,753.5,10.52,16.94,30.26,34.35
Arthropoda,Candacia armata,250,545,11.15,11.35,31.99,32.04
Arthropoda,Casco bigelowi,57,92.2,12.85,13.6,32.24,33.11
Arthropoda,Centropages bradyi,52.5,500,11.35,13.84,32.04,33.41
Arthropoda,Centropages hamatus,27,250,11.35,14.27,32.04,33.55
Arthropoda,Centropages typicus,27,545,10.58,14.49,32.03,33.41
Arthropoda,Chaceon quinquedens,80.5,1229.5,11.67,16.94,31.87,34.45
Arthropoda,Chionoecetes opilio,190,298,11.44,15.73,32.33,33.87
Arthropoda,Clausocalanus furcatus,46,545,11.35,12.7,32.04,32.99
Arthropoda,Clausocalanus pergens,500,545,11.35,11.92,32.04,32.28
Arthropoda,Clytemnestra scutellata,28,500,10.8,13.84,32.04,32.93
Arthropoda,Crangon septemspinosa,28.5,208.5,10.78,14.02,30.26,32.77
Arthropoda,Crassicorophium crassicorne,55.4,55.4,13.63,13.63,32.21,32.21
Arthropoda,Cyathura polita,57,88,12.85,13.28,32.24,33.03
Arthropoda,Diastylis abbreviata,92.2,92.2,13.59,13.59,33.11,33.11
Arthropoda,Diastylis quadrispinosa,57,92.2,12.85,15.1,32.24,33.11
Arthropoda,Dichelopandalus leptocerus,46.5,512.5,10.6,15.88,31.83,34.02
Arthropoda,Dyopedos monacanthus,57,57,12.85,12.85,32.24,32.24
Arthropoda,Dyopedos porrectus,57,92.2,12.85,13.59,32.24,33.11
Arthropoda,Ericthonius brasiliensis,57,92.2,12.85,14.94,32.24,33.11
Arthropoda,Eriopisa elongata,75,98.3,13.59,14.94,32.7,33.2
Arthropoda,Euchirella rostrata,61.5,500,11.15,13.74,31.99,33.33
Arthropoda,Eudorella monodon,57,88,12.85,14.59,32.24,33.03
Arthropoda,Eudorella pusilla,57,92.2,12.85,13.59,32.24,33.11
Arthropoda,Eurycope cornuta,274,274,10.83,10.83,31.92,31.92
Arthropoda,Eusergestes arcticus,250,500,11.15,12.07,31.99,32.4
Arthropoda,Gaetanus brevispinus,250,250,11.35,11.35,32.04,32.04
Arthropoda,Gaetanus curvicornis,259.5,259.5,18.86,18.86,35.36,35.36
Arthropoda,Gaetanus tenuispinus,250,500,11.15,14.1,31.99,33.1
Arthropoda,Galacantha rostrata,2000,2000,19.19,19.19,35.51,35.51
Arthropoda,Gennadas valens,500,500,11.92,11.92,32.28,32.28
Arthropoda,Haloptilus longicornis,411,500,11.15,11.92,31.99,32.28
Arthropoda,Hansarsia megalops,34,545,10.82,12.07,31.99,32.56
Arthropoda,Harbansus bowenae,75,80,14.59,14.94,32.86,33.02
Arthropoda,Harpinia propinqva,57,98.3,12.85,14.94,32.24,33.2
Arthropoda,Heteralepas cantelli,500,500,11.14,11.14,31.99,31.99
Arthropoda,Heterorhabdus norvegicus,66.5,500,11.35,12.33,32.04,32.53
Arthropoda,Hippomedon serratus,55,92.2,13.59,14.09,32.21,33.11
Arthropoda,Homarus americanus,41,963,10.58,16.94,30.26,34.45
Arthropoda,Lebbeus groenlandicus,87,87,10.58,10.58,32.05,32.05
Arthropoda,Lebbeus microceros,500,500,11.92,11.92,32.28,32.28
Arthropoda,Lebbeus polaris,131.5,359,10.83,12.44,31.92,32.73
Arthropoda,Leptocheirus pinguis,55.4,98.3,12.85,14.34,32.21,33.2
Arthropoda,Leptostylis longimana,92.2,98.3,13.59,14.34,33.11,33.2
Arthropoda,Leucothoe spinicarpa,306,306,10.83,10.83,31.92,31.92
Arthropoda,Libinia dubia,64,95,12.75,12.78,31.14,31.26
Arthropoda,Libinia emarginata,51,175,12.57,13.48,30.26,31.97
Arthropoda,Limulus polyphemus,50,143,12.57,13.48,30.26,32.02
Arthropoda,Lithodes maja,60.5,1229.5,10.83,15.98,31.92,34.27
Arthropoda,Lucicutia flavicornis,39,500,10.52,14.1,31.99,33.1
Arthropoda,Lucicutia ovalis,500,545,11.35,11.92,32.04,32.28
Arthropoda,Mecynocera clausi,45,545,10.58,18.69,31.98,35.28
Arthropoda,Megamoera dentata,88,2558,13.18,13.28,33.03,33.03
Arthropoda,Meganyctiphanes norvegica,42.5,500,10.83,14.27,31.92,33.55
Arthropoda,Mesocalanus tenuicornis,500,500,11.35,11.35,32.04,32.04
Arthropoda,Metridia longa,27.5,545,10.52,14.49,31.99,33.41
Arthropoda,Microsetella norvegica,36,411,10.75,12.63,31.99,32.91
Arthropoda,Miracia efferata,500,500,11.35,11.35,32.04,32.04
Arthropoda,Mormonilla phasma,500,500,11.35,12.07,32.04,32.4
Arthropoda,Nannocalanus minor,75,500,11.35,14.27,32.04,33.55
Arthropoda,Nematobrachion boopis,411,500,11.15,11.92,31.99,32.28
Arthropoda,Neolithodes grimaldii,1110,1110,17.72,17.72,34.98,34.98
Arthropoda,Oithona atlantica,27.5,545,10.52,14.27,31.98,33.55
Arthropoda,Oithona similis,25,545,10.52,14.49,31.98,33.55
Arthropoda,Oncaea venusta,500,500,11.92,11.92,32.28,32.28
Arthropoda,Ovalipes ocellatus,45,130,10.96,15.72,30.46,33.7
Arthropoda,Oxyurostylis smithi,55.4,55.4,13.63,13.63,32.21,32.21
Arthropoda,Pandalus borealis,142.5,500,11.62,11.99,31.83,32.35
Arthropoda,Pandalus montagui,40,212.5,10.78,12.53,32,32.46
Arthropoda,Paraeuchaeta norvegica,30.5,500,11.11,14.27,31.99,33.55
Arthropoda,Parapagurus pilosimanus,2000,2000,19.04,19.19,35.43,35.51
Arthropoda,Parasterope pollex,57,92.2,12.85,13.59,32.24,33.11
Arthropoda,Pasiphaea multidentata,129.5,500,11.35,15.44,31.89,34.01
Arthropoda,Peratocytheridea setipunctata,88,88,13.28,13.28,33.03,33.03
Arthropoda,Photis pollex,55,92.2,13.59,14.09,32.39,33.11
Arthropoda,Phoxocephalus holbolli,55,71,12.36,15.1,32.39,32.97
Arthropoda,Pleoticus robustus,249.5,361.5,15.29,16.79,33.78,34.45
Arthropoda,Pleuromamma borealis,40,545,10.58,14.27,31.99,33.55
Arthropoda,Podon leuckartii,500,500,11.35,12.07,32.04,32.4
Arthropoda,Politolana concharum,55.4,92.2,12.36,13.63,32.21,33.11
Arthropoda,Pontophilus norvegicus,105,490,10.85,15.44,32.01,34.01
Arthropoda,Pseudoamallothrix ovata,56.5,500,10.92,13.84,32.02,32.93
Arthropoda,Ptilanthura tenuis,55.4,92.2,13.59,13.63,32.21,33.11
Arthropoda,Rhepoxynius hudsoni,55.4,88,13.28,15.53,32.21,33.31
Arthropoda,Rhincalanus nasutus,500,500,11.35,11.92,32.04,32.28
Arthropoda,Robustosergia robusta,500,500,11.35,11.92,32.04,32.28
Arthropoda,Scyllarides nodifer,49.5,123,11.59,15.47,31.88,33.61
Arthropoda,Siphonoecetes smithianus,75,75,14.94,14.94,33.02,33.02
Arthropoda,Skaptopus brychius,92.2,92.2,13.59,13.59,33.11,33.11
Arthropoda,Spinocalanus abyssalis,32.5,545,10.94,14.1,32.04,33.1
Arthropoda,Spirontocaris liljeborgii,105,202.5,10.85,11.98,31.96,32.38
Arthropoda,Spirontocaris phippsii,153,153,11.94,11.94,32.17,32.17
Arthropoda,Squilla empusa,60,77,12.68,12.8,30.46,31.18
Arthropoda,Syscenus atlanticus,2000,2000,17.6,17.72,34.97,34.98
Arthropoda,Tanaissus psammophilus,55,92.2,12.85,15.1,32.21,33.11
Arthropoda,Temora longicornis,27,500,10.58,14.49,31.98,33.41
Arthropoda,Themisto abyssorum,27,500,11.7,13.46,32.28,33.11
Arthropoda,Themisto compressa,30,500,10.78,13.46,31.92,33.11
Arthropoda,Themisto libellula,38.5,500,10.78,11.92,31.99,32.28
Arthropoda,Thysanoessa gregaria,37,44,10.76,11.89,32.23,32.67
Arthropoda,Thysanoessa longicaudata,32.5,545,10.52,12.33,31.99,32.67
Arthropoda,Thysanoessa raschii,75,500,11.35,14.27,32.04,33.55
Arthropoda,Triconia borealis,250,500,11.35,13.84,32.04,32.93
Arthropoda,Triconia conifera,38.5,545,10.78,12.44,32.04,32.63
Arthropoda,Triconia minuta,500,500,11.92,11.92,32.28,32.28
Arthropoda,Unciola irrorata,55,92.2,12.85,15.53,32.21,33.31
Bacillariophyta,Cerataulus titianus,57,57,17.09,17.09,34.64,34.64
Bacillariophyta,Chaetoceros affinis,61,285,20.18,23.44,35.76,36.16
Bacillariophyta,Chaetoceros decipiens,64,64,23.44,23.44,36.16,36.16
Bacillariophyta,Chaetoceros simplex,57,111,17.09,23.44,34.64,36.16
Bacillariophyta,Corethron hystrix,57,57,17.09,17.09,34.64,34.64
Bacillariophyta,Cylindrotheca closterium,64,285,17.09,23.44,34.64,36.16
Bacillariophyta,Fragilariopsis cylindrus,57,285,17.09,23.44,34.64,36.16
Bacillariophyta,Leptocylindrus convexus,57,57,17.09,17.09,34.64,34.64
Bacillariophyta,Leptocylindrus danicus,57,135,17.09,23.44,34.64,36.16
Bacillariophyta,Lithodesmium undulatum,109,109,17.09,17.09,34.64,34.64
Bacillariophyta,Phaeodactylum tricornutum,57,139,17.09,23.44,34.64,36.16
Bacillariophyta,Pseudo-nitzschia heimii,64,89,23.44,23.44,36.16,36.16
Bacillariophyta,Pseudo-nitzschia multiseries,61,65,20.18,21.1,35.76,35.91
Bacillariophyta,Pseudosolenia calcar-avis,90,90,21.1,21.1,35.91,35.91
Bacillariophyta,Rhizosolenia delicatula,57,57,17.09,17.09,34.64,34.64
Bacillariophyta,Rhizosolenia flaccida,57,89,17.09,17.09,34.64,34.64
Bacillariophyta,Rhizosolenia imbricata,57,111,17.09,23.44,34.64,36.16
Bacillariophyta,Sundstroemia setigera,57,57,17.09,17.09,34.64,34.64
Bacillariophyta,Thalassiosira oceanica,57,57,17.09,17.09,34.64,34.64
Bacteroidetes,Lewinella cohaerens,57,57,17.09,17.09,34.64,34.64
Bacteroidetes,Lishizhenia tianjinensis,61,284,17.09,23.44,34.64,36.16
Bacteroidetes,Microscilla marina,109,109,17.09,17.09,34.64,34.64
Bacteroidetes,Reichenbachiella agariperforans,135,236,17.09,21.1,34.64,35.91
Bacteroidetes,Wandonia haliotis,285,285,17.09,17.09,34.64,34.64
Bigyra,Cafeteria roenbergensis,288,288,20.18,20.18,35.76,35.76
Bryozoa,Eucratea loricata,86,284,20.18,23.44,35.76,36.16
Cercozoa,Pseudopirsonia mucosa,109,109,17.09,17.09,34.64,34.64
Chaetognatha,Caecosagitta macrocephala,500,500,11.35,11.92,32.04,32.28
Chaetognatha,Eukrohnia fowleri,500,500,11.35,11.92,32.04,32.28
Chaetognatha,Eukrohnia hamata,30,545,11.15,14.1,31.99,33.22
Chaetognatha,Parasagitta elegans,25,500,10.52,12.28,31.98,32.67
Chaetognatha,Pseudosagitta maxima,39.5,500,10.73,12.07,31.99,32.67
Chaetognatha,Serratosagitta serratodentata,60,500,11.15,12.33,31.99,32.53
Choanozoa,Bicosta minor,89,89,23.44,23.44,36.16,36.16
Choanozoa,Diaphanoeca grandis,86,86,20.18,20.18,35.76,35.76
Choanozoa,Didymoeca costata,160,160,23.44,23.44,36.16,36.16
Choanozoa,Pleurasiga minima,285,285,17.09,17.09,34.64,34.64
Chordata,Acanthochaenus luetkenii,1131.5,2265.5,17.39,17.84,34.74,35.06
Chordata,Acanthocybium solandri,125,1550,14.98,19.99,33.9,35.76
Chordata,Acipenser oxyrinchus,52,52,13.48,13.48,31.97,31.97
Chordata,Ahliesaurus berryi,580,585,17.6,17.84,34.97,35.06
Chordata,Aldrovandia affinis,715.5,2136,13.08,19.06,33.03,35.33
Chordata,Aldrovandia oleosa,723,723,18.01,18.01,35.12,35.12
Chordata,Aldrovandia phalacra,825.5,2652,16.19,18.17,34.33,35.12
Chordata,Alepisaurus brevirostris,465,2431.5,16.41,18.17,34.59,35.11
Chordata,Alepisaurus ferox,389.5,1322.5,17.84,17.84,35.06,35.06
Chordata,Alepocephalus agassizii,820,2652,16.32,18.01,34.33,35.12
Chordata,Alepocephalus australis,715.5,2248.5,16.32,18.01,34.33,35.12
Chordata,Alepocephalus bairdii,1229.5,1229.5,15.98,15.98,34.27,34.27
Chordata,Alopias superciliosus,200,1700,15.71,21.73,34.09,36.05
Chordata,Alopias vulpinus,73,90,12.69,12.76,30.46,31.31
Chordata,Alosa aestivalis,41,212.5,11.48,15.99,30.46,33.82
Chordata,Alosa mediocris,142,142,12.65,12.65,31.03,31.03
Chordata,Alosa pseudoharengus,41,298.5,10.6,16.67,30.38,34.34
Chordata,Alosa sapidissima,41,346,10.81,16.94,30.26,34.35
Chordata,Aluterus schoepfii,85.5,110,12.69,14.06,31.19,32.93
Chordata,Amblyraja jenseni,540,540,17.84,17.84,35.06,35.06
Chordata,Amblyraja radiata,48.5,1718,10.46,16.34,31.74,34.34
Chordata,Ammodytes americanus,40,85,11.35,12.75,31.29,32.37
Chordata,Ammodytes dubius,41,216.5,10.58,15.99,31.3,33.72
Chordata,Anarhichas denticulatus,614,1243,17.72,18.17,34.98,35.11
Chordata,Anarhichas lupus,105,189.5,10.85,11.92,32.01,32.25
Chordata,Anarhichas minor,721,818,13.53,14.37,33.25,33.54
Chordata,Anchoa hepsetus,41,78,11.22,13.48,31.01,32.92
Chordata,Anchoa mitchilli,50,141,12.58,15,30.46,33.48
Chordata,Anguilla rostrata,68,127,12.65,14.94,31.03,33.66
Chordata,Anoplogaster cornuta,363,3272,14.15,18.72,33.45,35.31
Chordata,Anotopterus pharao,824,2500,16.09,19.79,34.37,35.67
Chordata,Anthias nicholsi,132,195.5,15.29,16.35,33.78,34.15
Chordata,Antigonia capros,100.5,276.5,14.75,16.94,33.2,34.35
Chordata,Antimora rostrata,125.5,2713,13.08,22.52,33.03,36.1
Chordata,Apristurus indicus,1086,1086,17.43,17.43,34.83,34.83
Chordata,Apristurus manis,581,1808,13.53,18.01,33.25,35.12
Chordata,Apristurus profundorum,715.5,2652,17.84,18.01,35.02,35.12
Chordata,Arctozenus risso,247.5,3272,14.37,18.2,33.54,35.23
Chordata,Argentina silus,50.5,253.5,11.34,16.94,32.1,34.35
Chordata,Argentina striata,93.5,346,14.5,16.83,33.2,34.28
Chordata,Argyropelecus aculeatus,363,3417.5,15.19,18.72,34.08,35.31
Chordata,Argyropelecus affinis,2111.5,2111.5,16.09,16.09,34.37,34.37
Chordata,Argyropelecus gigas,235,2587,14.15,18.31,33.45,35.25
Chordata,Argyropelecus hemigymnus,363,3417.5,14.54,18.72,33.71,35.31
Chordata,Argyropelecus sladeni,2162,2162,18.45,18.45,35.2,35.2
Chordata,Ariomma bondi,45.5,2100,10.82,18.62,32.29,35.26
Chordata,Ariomma melana,580,580,17.72,17.72,34.98,34.98
Chordata,Aristostomias lunifer,350,350,17.72,17.72,34.98,34.98
Chordata,Aristostomias tittmanni,363,363,18.62,18.62,35.26,35.26
Chordata,Aspidophoroides monopterygius,53.5,186,10.58,13.04,31.74,33.06
Chordata,Astronesthes niger,739,739,14.88,14.88,33.92,33.92
Chordata,Astroscopus guttatus,74,74,13.48,13.48,31.94,31.94
Chordata,Atractodenchelys phrix,900,906,16.15,16.15,34.22,34.22
Chordata,Auxis rochei,700,1537,14.56,18.17,33.65,35.11
Chordata,Avocettina infans,235,818,18.01,18.01,35.12,35.12
Chordata,Bajacalifornia megalops,508,879.5,15.92,17.84,34.33,35.06
Chordata,Baldwinella aureorubens,103,257.5,15.23,16.63,33.67,34.34
Chordata,Balistes capriscus,86,140.5,12.63,14.48,31.44,33.6
Chordata,Barathrites parri,1176.5,2248.5,17.39,17.39,34.81,34.81
Chordata,Bathophilus vaillanti,380,1131.5,17.43,18.01,34.74,35.12
Chordata,Bathygadus favosus,1197,1447.5,17.72,18.01,34.98,35.12
Chordata,Bathylagichthys greyae,724,724,17.95,17.95,35.12,35.12
Chordata,Bathylagus euryops,363,3417.5,14.54,18.72,33.71,35.31
Chordata,Bathypterois dubius,723,1148.5,17.84,18.01,35.06,35.12
Chordata,Bathypterois grallator,540,2248.5,17.06,17.84,34.58,35.06
Chordata,Bathypterois phenax,1167,2652,15.83,18.18,34.24,35.16
Chordata,Bathypterois quadrifilis,593,1489.5,16.19,18.01,34.34,35.12
Chordata,Bathypterois viridensis,921,1643,15.49,16.34,34.16,34.31
Chordata,Bathysaurus ferox,1011,2652,14.7,17.84,33.76,35.06
Chordata,Bathysaurus mollis,1877,3236,16.29,19.65,34.43,35.6
Chordata,Bathytoshia centroura,50.5,114,12.59,14.55,30.83,32.58
Chordata,Bathytroctes microlepis,832,832,17.84,17.84,35.06,35.06
Chordata,Bembrops anatirostris,97,103,15.55,15.76,33.71,33.94
Chordata,Bembrops gobioides,138.5,361.5,15.76,15.88,33.78,34.02
Chordata,Benthocometes robustus,299,299,16.85,16.85,34.31,34.31
Chordata,Benthodesmus simonyi,254,2587,13.6,18.31,33.35,35.25
Chordata,Benthodesmus tenuis,1213,1213,18.17,18.17,35.11,35.11
Chordata,Benthosema glaciale,250,3008,11.35,18.18,32.04,35.16
Chordata,Bolinichthys supralateralis,1209.5,2328,18.01,18.17,35.11,35.12
Chordata,Borostomias antarcticus,363,3417.5,15.55,18.62,34.09,35.26
Chordata,Brama brama,120,662,12.79,18.01,31.3,35.12
Chordata,Bregmaceros atlanticus,1260,1260,18.01,18.01,35.12,35.12
Chordata,Brevoortia tyrannus,52,116,12.58,14.78,30.6,32.81
Chordata,Brosme brosme,40,359,10.6,12.44,31.93,32.85
Chordata,Brotulotaenia crassa,486,486,18.31,18.31,35.25,35.25
Chordata,Brotulotaenia nigra,181,821.5,17.84,18.31,35.02,35.25
Chordata,Bythites gerdae,1090,1090,16.15,16.15,34.21,34.21
Chordata,Caranx crysos,50,334,12.64,15.87,30.26,34.04
Chordata,Caranx hippos,64,118,12.63,12.78,30.38,31.26
Chordata,Carcharhinus altimus,187.5,187.5,15.75,15.75,33.93,33.93
Chordata,Carcharhinus falciformis,187.5,2100,14.88,22.26,33.88,36.1
Chordata,Carcharhinus longimanus,2100,2100,22.02,22.02,36.07,36.07
Chordata,Carcharhinus obscurus,91,91,12.67,12.67,31.1,31.1
Chordata,Carcharhinus plumbeus,88,1700,13.34,21.73,33.03,36.05
Chordata,Carcharhinus signatus,197.5,500,15.89,16.71,34.09,34.45
Chordata,Carcharias taurus,440,440,15.22,15.22,33.9,33.9
Chordata,Caretta caretta,60,2400,14.18,22.9,33.51,36.37
Chordata,Centrobranchus nigroocellatus,1260,1260,18.01,18.01,35.12,35.12
Chordata,Centropristis ocyurus,104.5,104.5,13.9,13.9,33.38,33.38
Chordata,Centropristis striata,48,224,11.64,16.83,30.26,34.28
Chordata,Centroscyllium fabricii,818,1229.5,14.8,16.32,33.73,34.33
Chordata,Centroscymnus coelolepis,818,1229.5,14.8,16.16,33.73,34.27
Chordata,Ceratias holboelli,2841,2841,18.18,18.18,35.16,35.16
Chordata,Ceratoscopelus maderensis,403.5,3272,14.86,18.31,33.88,35.25
Chordata,Ceratoscopelus warmingii,2184,3272,17.12,18.2,34.87,35.23
Chordata,Cetostoma regani,706.5,3321.5,17.09,18.72,34.76,35.31
Chordata,Chauliodus danae,404.5,3417.5,16.09,18.72,34.37,35.31
Chordata,Chauliodus sloani,228.5,3417.5,11.87,18.72,32.32,35.31
Chordata,Chaunacops roseus,1068,3107,16.14,22.52,34.18,36.1
Chordata,Chaunax stigmaeus,349.5,349.5,15.76,15.76,33.94,33.94
